item_id,fold_k,c_min,agent,agent_chosen,has_doc_ref,retrieval_recall,eta,eta_solo,z_agent,baseline,tau_star_solo,abstained,abstained_solo,z_system
q_0004,0,0.7,gemma4_e4b,gemma4_e4b,True,1.0,1.0,1.0,1,Bsolo,0.9411764705882353,True,True,
q_0035,0,0.7,gemma4_e4b,gemma4_e4b,False,,0.6170212765957447,0.6170212765957447,0,Bsolo,0.9411764705882353,False,False,0.0
q_0045,0,0.7,gemma4_e4b,gemma4_e4b,True,0.0,0.8888888888888888,0.8888888888888888,0,Bsolo,0.9411764705882353,False,False,0.0
q_0048,0,0.7,gemma4_e4b,gemma4_e4b,True,0.0,0.6170212765957447,0.6170212765957447,0,Bsolo,0.9411764705882353,False,False,0.0
q_0050,0,0.7,gemma4_e4b,gemma4_e4b,True,1.0,0.8888888888888888,0.8888888888888888,0,Bsolo,0.9411764705882353,False,False,0.0
q_0062,0,0.7,gemma4_e4b,gemma4_e4b,True,0.5,0.6170212765957447,0.6170212765957447,0,Bsolo,0.9411764705882353,False,False,0.0
q_0082,0,0.7,gemma4_e4b,gemma4_e4b,True,0.0,0.8888888888888888,0.8888888888888888,0,Bsolo,0.9411764705882353,False,False,0.0
q_0101,0,0.7,gemma4_e4b,gemma4_e4b,True,1.0,0.6170212765957447,0.6170212765957447,1,Bsolo,0.9411764705882353,False,False,1.0
q_0123,0,0.7,gemma4_e4b,gemma4_e4b,True,0.14285714285714285,0.6170212765957447,0.6170212765957447,0,Bsolo,0.9411764705882353,False,False,0.0
q_0129,0,0.7,gemma4_e4b,gemma4_e4b,True,0.15384615384615385,0.6170212765957447,0.6170212765957447,1,Bsolo,0.9411764705882353,False,False,1.0
q_0130,0,0.7,gemma4_e4b,gemma4_e4b,True,1.0,0.6170212765957447,0.6170212765957447,1,Bsolo,0.9411764705882353,False,False,1.0
q_0202,0,0.7,gemma4_e4b,gemma4_e4b,True,0.0,0.8888888888888888,0.8888888888888888,0,Bsolo,0.9411764705882353,False,False,0.0
q_0212,0,0.7,gemma4_e4b,gemma4_e4b,True,0.6666666666666666,0.8888888888888888,0.8888888888888888,0,Bsolo,0.9411764705882353,False,False,0.0
q_0236,0,0.7,gemma4_e4b,gemma4_e4b,True,0.0,0.6170212765957447,0.6170212765957447,0,Bsolo,0.9411764705882353,False,False,0.0
q_0241,0,0.7,gemma4_e4b,gemma4_e4b,True,0.0,1.0,1.0,0,Bsolo,0.9411764705882353,True,True,
q_0259,0,0.7,gemma4_e4b,gemma4_e4b,True,1.0,1.0,1.0,0,Bsolo,0.9411764705882353,True,True,
q_0266,0,0.7,gemma4_e4b,gemma4_e4b,True,1.0,0.6170212765957447,0.6170212765957447,1,Bsolo,0.9411764705882353,False,False,1.0
q_0274,0,0.7,gemma4_e4b,gemma4_e4b,True,0.3333333333333333,0.8888888888888888,0.8888888888888888,0,Bsolo,0.9411764705882353,False,False,0.0
q_0289,0,0.7,gemma4_e4b,gemma4_e4b,True,0.75,0.6170212765957447,0.6170212765957447,0,Bsolo,0.9411764705882353,False,False,0.0
q_0306,0,0.7,gemma4_e4b,gemma4_e4b,True,0.2,1.0,1.0,0,Bsolo,0.9411764705882353,True,True,
q_0362,0,0.7,gemma4_e4b,gemma4_e4b,True,0.0,0.6170212765957447,0.6170212765957447,0,Bsolo,0.9411764705882353,False,False,0.0
q_0368,0,0.7,gemma4_e4b,gemma4_e4b,True,1.0,0.6170212765957447,0.6170212765957447,1,Bsolo,0.9411764705882353,False,False,1.0
q_0371,0,0.7,gemma4_e4b,gemma4_e4b,True,1.0,0.6170212765957447,0.6170212765957447,0,Bsolo,0.9411764705882353,False,False,0.0
q_0372,0,0.7,gemma4_e4b,gemma4_e4b,False,,0.9411764705882353,0.9411764705882353,0,Bsolo,0.9411764705882353,False,False,0.0
q_0378,0,0.7,gemma4_e4b,gemma4_e4b,True,0.0,1.0,1.0,0,Bsolo,0.9411764705882353,True,True,
q_0384,0,0.7,gemma4_e4b,gemma4_e4b,True,1.0,0.6170212765957447,0.6170212765957447,0,Bsolo,0.9411764705882353,False,False,0.0
q_0417,0,0.7,gemma4_e4b,gemma4_e4b,True,0.0,0.6170212765957447,0.6170212765957447,1,Bsolo,0.9411764705882353,False,False,1.0
q_0432,0,0.7,gemma4_e4b,gemma4_e4b,True,1.0,0.9411764705882353,0.9411764705882353,0,Bsolo,0.9411764705882353,False,False,0.0
q_0462,0,0.7,gemma4_e4b,gemma4_e4b,False,,1.0,1.0,0,Bsolo,0.9411764705882353,True,True,
q_0466,0,0.7,gemma4_e4b,gemma4_e4b,False,,0.9411764705882353,0.9411764705882353,0,Bsolo,0.9411764705882353,False,False,0.0
q_0471,0,0.7,gemma4_e4b,gemma4_e4b,True,0.0,0.9411764705882353,0.9411764705882353,0,Bsolo,0.9411764705882353,False,False,0.0
q_0494,0,0.7,gemma4_e4b,gemma4_e4b,True,0.6,0.9411764705882353,0.9411764705882353,0,Bsolo,0.9411764705882353,False,False,0.0
q_0531,0,0.7,gemma4_e4b,gemma4_e4b,True,0.3333333333333333,0.9411764705882353,0.9411764705882353,0,Bsolo,0.9411764705882353,False,False,0.0
q_0567,0,0.7,gemma4_e4b,gemma4_e4b,False,,0.9411764705882353,0.9411764705882353,0,Bsolo,0.9411764705882353,False,False,0.0
q_0577,0,0.7,gemma4_e4b,gemma4_e4b,True,1.0,0.6170212765957447,0.6170212765957447,0,Bsolo,0.9411764705882353,False,False,0.0
q_0586,0,0.7,gemma4_e4b,gemma4_e4b,False,,0.8888888888888888,0.8888888888888888,0,Bsolo,0.9411764705882353,False,False,0.0
q_0602,0,0.7,gemma4_e4b,gemma4_e4b,True,0.0,1.0,1.0,0,Bsolo,0.9411764705882353,True,True,
q_0704,0,0.7,gemma4_e4b,gemma4_e4b,True,0.5,1.0,1.0,0,Bsolo,0.9411764705882353,True,True,
q_0706,0,0.7,gemma4_e4b,gemma4_e4b,True,0.5,0.6170212765957447,0.6170212765957447,0,Bsolo,0.9411764705882353,False,False,0.0
q_0712,0,0.7,gemma4_e4b,gemma4_e4b,True,0.0,1.0,1.0,0,Bsolo,0.9411764705882353,True,True,
q_0044,1,0.7,gemma4_e4b,gemma4_e4b,True,0.0,0.6585365853658536,0.6585365853658536,0,Bsolo,0.95,False,False,0.0
q_0052,1,0.7,gemma4_e4b,gemma4_e4b,True,0.0,0.95,0.95,0,Bsolo,0.95,False,False,0.0
q_0084,1,0.7,gemma4_e4b,gemma4_e4b,False,,0.95,0.95,0,Bsolo,0.95,False,False,0.0
q_0097,1,0.7,gemma4_e4b,gemma4_e4b,True,0.25,0.6585365853658536,0.6585365853658536,1,Bsolo,0.95,False,False,1.0
q_0099,1,0.7,gemma4_e4b,gemma4_e4b,True,1.0,0.96,0.96,0,Bsolo,0.95,True,True,
q_0156,1,0.7,gemma4_e4b,gemma4_e4b,True,1.0,0.6585365853658536,0.6585365853658536,1,Bsolo,0.95,False,False,1.0
q_0220,1,0.7,gemma4_e4b,gemma4_e4b,True,0.5,0.6585365853658536,0.6585365853658536,1,Bsolo,0.95,False,False,1.0
q_0263,1,0.7,gemma4_e4b,gemma4_e4b,True,0.5,0.6585365853658536,0.6585365853658536,1,Bsolo,0.95,False,False,1.0
q_0275,1,0.7,gemma4_e4b,gemma4_e4b,True,0.0,0.6585365853658536,0.6585365853658536,0,Bsolo,0.95,False,False,0.0
q_0288,1,0.7,gemma4_e4b,gemma4_e4b,True,1.0,0.6585365853658536,0.6585365853658536,1,Bsolo,0.95,False,False,1.0
q_0315,1,0.7,gemma4_e4b,gemma4_e4b,True,1.0,0.6585365853658536,0.6585365853658536,0,Bsolo,0.95,False,False,0.0
q_0327,1,0.7,gemma4_e4b,gemma4_e4b,True,0.1111111111111111,0.6585365853658536,0.6585365853658536,0,Bsolo,0.95,False,False,0.0
q_0375,1,0.7,gemma4_e4b,gemma4_e4b,True,0.0,0.6585365853658536,0.6585365853658536,1,Bsolo,0.95,False,False,1.0
